Continent,avg_happiness,countries,rows
Oceania,7.230750004132589,2,12
Europe,6.3287922113922255,41,231
North America,6.147472225268682,14,72
South America,6.0580416688919065,8,48
Asia,5.286668027041388,47,244
Africa,4.392242680266312,48,239
